title,imageSrc
เต้าหู้ผักโขมนึ่งราดซอสเห็ด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403334458305/detail/menueditor_item_59ca5a4f6dbf4d909d71b9bdd43ba730_1665718402582631969.webp
มะเขือม่วงทอดกรอบหน้าหมูหยอง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403315205486/detail/menueditor_item_edffdf94a7864bd7bcb6564c6bb0720a_1665718255596664242.webp
ขนมผักกาด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403302143371/detail/menueditor_item_a3daf1c8b38945fe93ed3134c9f7bbbb_1665718193794512522.webp
เผือกหิมะ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403254257425/detail/menueditor_item_badb322cd6454e53ba5c962c0c018b6b_1665717890273636202.webp
ฟองเต้าหู้ทอดไส้หมูและกุ้ง (หง่อเฮียง),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403220820931/detail/menueditor_item_83157032867b44549894093021758c42_1665717701674455952.webp
ราดหน้าไก่ไห่หนาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101403200860061/detail/menueditor_item_25ecd53f66db4a2ab1ede6a1d4959df9_1665717541902460205.webp
หมูทอดซอสราชันย์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313442177624/detail/menueditor_item_92d86abdec0e4f6095a0ca102102259b_1665668627551969867.webp
บะหมี่หมูทอดซอสราชันย์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313425891349/detail/menueditor_item_624fd565cd1c43f38f214e77341a612a_1665668477550705731.webp
ข้าวหมูทอดซอสราชันย์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313351157750/detail/menueditor_item_89a754303797415fa9a1a03d49763e19_1665668075023289004.webp
ไก่ต้มซีอิ๊ว (กลาง),https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313341108303/detail/menueditor_item_cdd8b069246d447d912bb5a24cdd5879_1665668029479629440.webp
ข้าวไก่ต้มซีอิ๊ว,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313325156145/detail/menueditor_item_028ff0f233a04c45be707a6e7808d234_1665667943782594160.webp
บะหมี่ไก่ต้มซีอิ๊ว,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313313515213/detail/menueditor_item_76dfed46e41c484fb776fca1641148e4_1665667861965105035.webp
โจ๊กไก่ทอดซอสไห่หนาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022101313264645764/detail/menueditor_item_cbb442c3086c4835bcd29f4535a306e0_1665667582512620404.webp
