shopName,name,imageSrc
shari-shari,Tuna Cream Cheese ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022070606254999194/detail/menueditor_item_f1a76c36b49f4a6497d000a03c3091cf_1657088696249266691.webp
ohkajhu,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210331090947212404/detail/00155d0fe1f14f89b1e1df3db4bca4ce_1654500958314440095.webp
ohkajhu,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210331090947333894/detail/f1db4b6574254f94820aa1636529a22b_1654500976246809514.webp
ohkajhu,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210331090947170562/detail/61956b00409e4c759e2934a3ca9c736b_1654500990195521193.webp
ohkajhu,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210331090947354631/detail/e97d00cda11b45ce9d80c1b735262e79_1654501001415498338.webp
shari-shari,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200212085215023763/detail/menueditor_item_75db89184cd24fd0bd462ccf6f519da2_1676435842708632191.webp
shari-shari,Poke Bowl,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200211113538015129/detail/menueditor_item_3db5bc728a494bceb70bc25b2c6f7854_1676895216961776447.webp
shari-shari,Salsa Tofu Salad,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THGFIST000000ce1542576876655880131/detail/1542873516141618633_0_11ee00b3a8444bc1bca8c893efe5a159.webp
sook-sathon-vegan,ข้าวกล้องกะเพราคั่วพริกแห้งเจ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20221101115625213035/detail/menueditor_item_1aa1899085ec44f6a590dee6b52472e3_1690321332762759841.webp
RongsiPochana,ราดหน้าคะน้าฮ่องกง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211214170849015875/detail/2212504c32fe4987a46a5a0b378310eb_1639501725082772120.webp
sanyod,ราดหน้าคะน้าฮ่องกง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2020080106501529781/detail/menueditor_item_2cfb203fd7f1445f9994cf109fea6faa_1596264584494110314.webp
sanyod,ราดหน้าคะน้าฮ่องกง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2020080106525449146/detail/menueditor_item_b65bcad3fe7a490595d62fb9896ececc_1596264763214383775.webp
sanyod,ราดหน้าคะน้าฮ่องกง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2020061110142821812/detail/menueditor_item_047f6ceaf1594a7690bc02aaa3c0b844_1591870431483846227.webp
sanyod,ราดหน้าคะน้าฮ่องกง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDHJU3AAKUFWA-CZDHJU3EJJ3UVJ/detail/5f2672f4eb5c46d0a380638085bdc842_1586744724462288371.webp
sook-sathon-vegan,ราดหน้าคะน้าฮ่องกง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20191221105952015019/detail/762b1bbc0fc54b3b86577db7ee1f8ceb_1576926418882550214.webp
sook-sathon-vegan,ก๋วยจั๊บสุข,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023031110171722919/detail/menueditor_item_1d7787dd5bea4d7fb8dd38beac3275b9_1678564876470862571.webp
sook-sathon-vegan,ก๋วยจั๊บสุข,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060421102120872/detail/menueditor_item_93b00e8aed3f4fb19effcb584ec3f768_1685912999544160648.webp
sook-sathon-vegan,ก๋วยจั๊บสุข,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023030101110706001/detail/menueditor_item_d8970e246dc74492b26b9a3b1df9f65b_1677687903189599454.webp
sook-sathon-vegan,ก๋วยจั๊บสุข,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023030101075958688/detail/menueditor_item_3dbde198d073469d8d0e3a458449c81a_1677687934996138115.webp
sook-sathon-vegan,ก๋วยจั๊บสุข,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20221101115626096933/detail/menueditor_item_ef37c2f0a9d94ae9b15b8d04b65d951c_1690317798586253367.webp
wraptor,Quesadilla smoky beef,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20221003070350204625/detail/menueditor_item_62cce7d322984ba280b476c41ab10c1b_1665134493735981981.webp
yayoi,เซตสเต็กหมูกระทะร้อน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20220118162505018727/detail/d7d429a584484d83b64fc9f33545b1b7_1660553887245110117.webp
yayoi,เซตปลาซาบะย่างเกลือกระทะร้อน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200323053833027932/detail/d8eb934d5c3f464a997350ca06d6c89b_1584941913773890647.webp
yayoi,ข้าวราดหน้าแกงกะหรี่หมูชีสเบอร์เกอร์,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200726172517012148/detail/ca6467b4bb864eeba889356c9813a795_1595784478020321617.webp
yayoi,ราเม็งแชมป์เปี้ยน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20230607044752142101/detail/0add0096035e4866a4d91e81da79293a_1686113585735208200.webp
yayoi,ราเม็งแชมป์เปี้ยน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200626061159262423/detail/1fa01022013b4e40bbace46f53570c0a_1658427101268243378.webp
yayoi,ราเม็งแชมป์เปี้ยน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200626061158170030/detail/204b5dd896ab4a2a9bc1e1a7e215553a_1658427114541857644.webp
mhan,บะหมี่เกี๊ยวกุ้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022121607140040688/detail/menueditor_item_6d57a42e52b448cd8b1555bcab4201c9_1672641304735696814.webp
yumcha,ข้าวไก่ทอดพริกเกลือ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2020121010172706693/detail/menueditor_item_53d22356b0ff4c0e9b8b148b8b92be25_1607595352203162697.webp
lele,ก๋วยจั๊บญวน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021061009014289881/detail/menueditor_item_13fc122499fd48acb858ce69662c33e4_1623315610100827233.webp
lele,ก๋วยเตี๋ยวหลอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021061008542207913/detail/menueditor_item_ce3adbd3baf64efa83d9c24e0d31b866_1623315166451663281.webp
sook-sathon-vegan,ก๋วยเตี๋ยวหลอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023030101154181362/detail/menueditor_item_2f95c397783d422fbc679fa1dfdb02b7_1677687826267433715.webp
sook-sathon-vegan,ก๋วยเตี๋ยวหลอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20221101115625110819/detail/menueditor_item_408267c4513240d7a6d6c2ea602f1bc2_1690323205967608393.webp
lele,แหนมเนืองห่อสำเร็จ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021060808004138151/detail/menueditor_item_5fc4cb2f52e4409086eab70833803119_1623139196990092875.webp
pizza-company,พิซซ่าพัฟ ทริปเปิ้ล มีท,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20230417210425011927/detail/49296d7a_103023.webp
RongsiPochana,ข้าวหน้าเป็ดพะโล้,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CY5XC333LKNVV2-CY5XC34CKAWYGA/detail/aa4eba63e46e427b8ca91064bd0348eb_1598463540160136456.webp
zong,ข้าวหน้าเป็ดพะโล้,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20210809105121123824/detail/menueditor_item_7fadec016ffd49928fb7139ca83a455e_1630117308406954159.webp
